Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Label Preservation?,Validity?
331_INTB_gan_low_iteration40_X850_Y868,331,INTB,gan,low,40,850,868,not a real world object,865,1,1,1,0,no,N/A
48_INTB_sd_low_iteration79_X850_Y267,48,INTB,sd,low,79,850,267,850,850,0,0,0,0,yes,yes
51_INTB_sd_low_iteration24_X850_Y865,51,INTB,sd,low,24,850,865,850,865,0,1,0,0,N/A,yes
317_INTB_gan_low_iteration99_X850_Y865,317,INTB,gan,low,99,850,865,850,865,0,1,0,0,N/A,yes
22_INTB_sd_low_iteration53_X850_Y181,22,INTB,sd,low,53,850,181,850,265,0,1,0,0,N/A,yes
234_INTB_gan_high_iteration49_X850_Y865,234,INTB,gan,high,49,850,865,850,265,0,1,0,0,N/A,yes
283_INTB_vae_high_iteration1_X850_Y684,283,INTB,vae,high,1,850,684,850,265,0,1,0,0,N/A,yes
119_INTB_sd_high_iteration1_X850_Y169,119,INTB,sd,high,1,850,169,850,265,0,1,0,0,N/A,yes
238_INTB_gan_high_iteration41_X850_Y911,238,INTB,gan,high,41,850,911,850,265,0,1,0,0,N/A,yes
55_INTB_sd_low_iteration1_X850_Y333,55,INTB,sd,low,1,850,333,850,not a real world object,0,1,0,1,N/A,N/A
167_INTB_sd_high_iteration3_X850_Y333,167,INTB,sd,high,3,850,333,850,266,0,1,0,0,N/A,yes
307_INTB_gan_low_iteration69_X850_Y431,307,INTB,gan,low,69,850,431,850,265,0,1,0,0,N/A,yes
350_INTB_gan_low_iteration103_X850_Y951,350,INTB,gan,low,103,850,951,850,265,0,1,0,0,N/A,yes
355_INTB_gan_low_iteration63_X850_Y973,355,INTB,gan,low,63,850,973,850,865,0,1,0,0,N/A,yes
66_INTB_sd_low_iteration63_X850_Y188,66,INTB,sd,low,63,850,188,265,865,1,1,0,0,no,yes
181_INTB_vae_low_iteration29_X850_Y927,181,INTB,vae,low,29,850,927,850,850,0,0,0,0,yes,yes
138_INTB_sd_high_iteration5_X850_Y260,138,INTB,sd,high,5,850,260,850,850,0,0,0,0,yes,yes
288_INTB_gan_low_iteration103_X850_Y265,288,INTB,gan,low,103,850,265,850,265,0,1,0,0,N/A,yes
259_INTB_gan_high_iteration38_X850_Y640,259,INTB,gan,high,38,850,640,850,265,0,1,0,0,N/A,yes
287_INTB_gan_low_iteration170_X850_Y125,287,INTB,gan,low,170,850,125,260,not a real world object,1,1,0,1,no,N/A
85_INTB_sd_low_iteration1_X850_Y996,85,INTB,sd,low,1,850,996,267,865,1,1,0,0,no,yes
309_INTB_gan_low_iteration6_X850_Y181,309,INTB,gan,low,6,850,181,850,265,0,1,0,0,N/A,yes
260_INTB_gan_high_iteration15_X850_Y415,260,INTB,gan,high,15,850,415,267,865,1,1,0,0,no,yes
248_INTB_gan_high_iteration11_X850_Y265,248,INTB,gan,high,11,850,265,265,850,1,0,0,0,N/A,yes
18_INTB_sd_low_iteration62_X850_Y865,18,INTB,sd,low,62,850,865,865,265,1,1,0,0,no,yes
214_INTB_gan_high_iteration11_X850_Y266,214,INTB,gan,high,11,850,266,265,850,1,0,0,0,N/A,yes
285_INTB_vae_high_iteration1_X850_Y865,285,INTB,vae,high,1,850,865,850,850,0,0,0,0,yes,yes
242_INTB_gan_high_iteration31_X850_Y956,242,INTB,gan,high,31,850,956,865,266,1,1,0,0,no,yes
190_INTB_gan_high_iteration10_X850_Y266,190,INTB,gan,high,10,850,266,265,850,1,0,0,0,N/A,yes
241_INTB_gan_high_iteration62_X850_Y865,241,INTB,gan,high,62,850,865,265,267,1,1,0,0,no,yes
168_INTB_sd_high_iteration3_X850_Y296,168,INTB,sd,high,3,850,296,865,850,1,0,0,0,N/A,yes
351_INTB_gan_low_iteration122_X850_Y191,351,INTB,gan,low,122,850,191,265,996,1,1,0,0,no,yes
220_INTB_gan_high_iteration18_X850_Y265,220,INTB,gan,high,18,850,265,265,850,1,0,0,0,N/A,yes
141_INTB_sd_high_iteration1_X850_Y333,141,INTB,sd,high,1,850,333,865,865,1,1,0,0,no,yes
161_INTB_sd_high_iteration1_X850_Y980,161,INTB,sd,high,1,850,980,850,265,0,1,0,0,N/A,yes
21_INTB_sd_low_iteration1_X850_Y996,21,INTB,sd,low,1,850,996,850,865,0,1,0,0,N/A,yes
23_INTB_sd_low_iteration19_X850_Y189,23,INTB,sd,low,19,850,189,865,865,1,1,0,0,no,yes
201_INTB_gan_high_iteration24_X850_Y568,201,INTB,gan,high,24,850,568,850,850,0,0,0,0,yes,yes
281_INTB_vae_high_iteration1_X850_Y927,281,INTB,vae,high,1,850,927,850,850,0,0,0,0,yes,yes
207_INTB_gan_high_iteration10_X850_Y265,207,INTB,gan,high,10,850,265,850,265,0,1,0,0,N/A,yes
146_INTB_sd_high_iteration18_X850_Y265,146,INTB,sd,high,18,850,265,850,265,0,1,0,0,N/A,yes
49_INTB_sd_low_iteration23_X850_Y865,49,INTB,sd,low,23,850,865,865,865,1,1,0,0,no,yes
143_INTB_sd_high_iteration17_X850_Y865,143,INTB,sd,high,17,850,865,850,850,0,0,0,0,yes,yes
338_INTB_gan_low_iteration133_X850_Y435,338,INTB,gan,low,133,850,435,a different real world object,850,1,0,1,0,N/A,N/A
29_INTB_sd_low_iteration51_X850_Y222,29,INTB,sd,low,51,850,222,850,850,0,0,0,0,yes,yes
284_INTB_vae_high_iteration3_X850_Y153,284,INTB,vae,high,3,850,153,a different real world object,850,1,0,1,0,N/A,N/A
323_INTB_gan_low_iteration217_X850_Y889,323,INTB,gan,low,217,850,889,a different real world object,not a real world object,1,1,1,1,no,no
240_INTB_gan_high_iteration17_X850_Y267,240,INTB,gan,high,17,850,267,265,266,1,1,0,0,no,yes
332_INTB_gan_low_iteration40_X850_Y260,332,INTB,gan,low,40,850,260,260,267,1,1,0,0,no,yes
24_INTB_sd_low_iteration70_X850_Y995,24,INTB,sd,low,70,850,995,a different real world object,850,1,0,1,0,N/A,N/A
71_INTB_sd_low_iteration14_X850_Y265,71,INTB,sd,low,14,850,265,260,850,1,0,0,0,N/A,yes
91_INTB_sd_high_iteration1_X850_Y260,91,INTB,sd,high,1,850,260,a different real world object,850,1,0,1,0,N/A,N/A
177_INTB_vae_low_iteration17_X850_Y388,177,INTB,vae,low,17,850,388,260,850,1,0,0,0,N/A,yes
35_INTB_sd_low_iteration13_X850_Y267,35,INTB,sd,low,13,850,267,850,850,0,0,0,0,yes,yes
254_INTB_gan_high_iteration14_X850_Y415,254,INTB,gan,high,14,850,415,850,865,0,1,0,0,N/A,yes
306_INTB_gan_low_iteration131_X850_Y265,306,INTB,gan,low,131,850,265,850,850,0,0,0,0,yes,yes
345_INTB_gan_low_iteration107_X850_Y291,345,INTB,gan,low,107,850,291,850,865,0,1,0,0,N/A,yes
156_INTB_sd_high_iteration5_X850_Y963,156,INTB,sd,high,5,850,963,850,850,0,0,0,0,yes,yes
315_INTB_gan_low_iteration162_X850_Y951,315,INTB,gan,low,162,850,951,850,865,0,1,0,0,N/A,yes
203_INTB_gan_high_iteration10_X850_Y865,203,INTB,gan,high,10,850,865,850,865,0,1,0,0,N/A,yes
5_INTB_sd_low_iteration7_X850_Y265,5,INTB,sd,low,7,850,265,850,850,0,0,0,0,yes,yes
126_INTB_sd_high_iteration4_X850_Y496,126,INTB,sd,high,4,850,496,850,850,0,0,0,0,yes,yes
360_INTB_gan_low_iteration74_X850_Y568,360,INTB,gan,low,74,850,568,850,850,0,0,0,0,yes,yes
330_INTB_gan_low_iteration152_X850_Y257,330,INTB,gan,low,152,850,257,a different real world object,a different real world object,1,1,1,1,no,no
80_INTB_sd_low_iteration15_X850_Y415,80,INTB,sd,low,15,850,415,850,865,0,1,0,0,N/A,yes
261_INTB_gan_high_iteration20_X850_Y516,261,INTB,gan,high,20,850,516,850,850,0,0,0,0,yes,yes
202_INTB_gan_high_iteration24_X850_Y619,202,INTB,gan,high,24,850,619,415,a different real world object,1,1,0,1,no,N/A
0_INTB_sd_low_iteration123_X850_Y188,0,INTB,sd,low,123,850,188,850,267,0,1,0,0,N/A,yes
247_INTB_gan_high_iteration11_X850_Y415,247,INTB,gan,high,11,850,415,865,865,1,1,0,0,no,yes
290_INTB_gan_low_iteration118_X850_Y865,290,INTB,gan,low,118,850,865,865,865,1,1,0,0,no,yes
282_INTB_vae_high_iteration1_X850_Y341,282,INTB,vae,high,1,850,341,265,850,1,0,0,0,N/A,yes
34_INTB_sd_low_iteration85_X850_Y415,34,INTB,sd,low,85,850,415,850,865,0,1,0,0,N/A,yes
251_INTB_gan_high_iteration19_X850_Y415,251,INTB,gan,high,19,850,415,865,865,1,1,0,0,no,yes
153_INTB_sd_high_iteration7_X850_Y996,153,INTB,sd,high,7,850,996,850,850,0,0,0,0,yes,yes
339_INTB_gan_low_iteration34_X850_Y296,339,INTB,gan,low,34,850,296,850,850,0,0,0,0,yes,yes
52_INTB_sd_low_iteration1_X850_Y191,52,INTB,sd,low,1,850,191,850,850,0,0,0,0,yes,yes
121_INTB_sd_high_iteration1_X850_Y12,121,INTB,sd,high,1,850,12,850,850,0,0,0,0,yes,yes
221_INTB_gan_high_iteration19_X850_Y267,221,INTB,gan,high,19,850,267,850,850,0,0,0,0,yes,yes
92_INTB_sd_high_iteration16_X850_Y973,92,INTB,sd,high,16,850,973,850,850,0,0,0,0,yes,yes
170_INTB_sd_high_iteration12_X850_Y865,170,INTB,sd,high,12,850,865,850,850,0,0,0,0,yes,yes
206_INTB_gan_high_iteration21_X850_Y267,206,INTB,gan,high,21,850,267,850,850,0,0,0,0,yes,yes
194_INTB_gan_high_iteration52_X850_Y995,194,INTB,gan,high,52,850,995,850,850,0,0,0,0,yes,yes
135_INTB_sd_high_iteration4_X850_Y996,135,INTB,sd,high,4,850,996,850,850,0,0,0,0,yes,yes
46_INTB_sd_low_iteration1_X850_Y911,46,INTB,sd,low,1,850,911,850,850,0,0,0,0,yes,yes
130_INTB_sd_high_iteration8_X850_Y865,130,INTB,sd,high,8,850,865,850,850,0,0,0,0,yes,yes
14_INTB_sd_low_iteration6_X850_Y265,14,INTB,sd,low,6,850,265,850,850,0,0,0,0,yes,yes
100_INTB_sd_high_iteration1_X850_Y865,100,INTB,sd,high,1,850,865,865,850,1,0,0,0,N/A,yes
81_INTB_sd_low_iteration38_X850_Y189,81,INTB,sd,low,38,850,189,265,850,1,0,0,0,N/A,yes
293_INTB_gan_low_iteration181_X850_Y995,293,INTB,gan,low,181,850,995,850,850,0,0,0,0,yes,yes
359_INTB_gan_low_iteration18_X850_Y955,359,INTB,gan,low,18,850,955,a different real world object,850,1,0,1,0,N/A,N/A
294_INTB_gan_low_iteration150_X850_Y865,294,INTB,gan,low,150,850,865,865,850,1,0,0,0,N/A,yes
12_INTB_sd_low_iteration40_X850_Y496,12,INTB,sd,low,40,850,496,265,850,1,0,0,0,N/A,yes
69_INTB_sd_low_iteration4_X850_Y911,69,INTB,sd,low,4,850,911,265,850,1,0,0,0,N/A,yes
324_INTB_gan_low_iteration55_X850_Y434,324,INTB,gan,low,55,850,434,265,not a real world object,1,1,0,1,no,N/A
327_INTB_gan_low_iteration117_X850_Y359,327,INTB,gan,low,117,850,359,a different real world object,not a real world object,1,1,1,1,no,no
274_INTB_vae_high_iteration1_X850_Y812,274,INTB,vae,high,1,850,812,850,850,0,0,0,0,yes,yes
233_INTB_gan_high_iteration17_X850_Y865,233,INTB,gan,high,17,850,865,850,850,0,0,0,0,yes,yes
32_INTB_sd_low_iteration1_X850_Y377,32,INTB,sd,low,1,850,377,850,850,0,0,0,0,yes,yes
63_INTB_sd_low_iteration47_X850_Y265,63,INTB,sd,low,47,850,265,850,850,0,0,0,0,yes,yes
42_INTB_sd_low_iteration94_X850_Y996,42,INTB,sd,low,94,850,996,865,850,1,0,0,0,N/A,yes
8_INTB_sd_low_iteration91_X850_Y865,8,INTB,sd,low,91,850,865,850,850,0,0,0,0,yes,yes
176_INTB_vae_low_iteration15_X850_Y844,176,INTB,vae,low,15,850,844,850,850,0,0,0,0,yes,yes
120_INTB_sd_high_iteration1_X850_Y996,120,INTB,sd,high,1,850,996,865,850,1,0,0,0,N/A,yes
54_INTB_sd_low_iteration126_X850_Y616,54,INTB,sd,low,126,850,616,265,850,1,0,0,0,N/A,yes
178_INTB_vae_low_iteration25_X850_Y961,178,INTB,vae,low,25,850,961,850,850,0,0,0,0,yes,yes
344_INTB_gan_low_iteration86_X850_Y189,344,INTB,gan,low,86,850,189,not a real world object,266,1,1,1,0,no,N/A
270_INTB_gan_high_iteration32_X850_Y406,270,INTB,gan,high,32,850,406,not a real world object,850,1,0,1,0,N/A,N/A
275_INTB_vae_high_iteration1_X850_Y258,275,INTB,vae,high,1,850,258,850,850,0,0,0,0,yes,yes
269_INTB_gan_high_iteration18_X850_Y266,269,INTB,gan,high,18,850,266,not a real world object,850,1,0,1,0,N/A,N/A
67_INTB_sd_low_iteration18_X850_Y189,67,INTB,sd,low,18,850,189,850,850,0,0,0,0,yes,yes
183_INTB_vae_low_iteration8_X850_Y406,183,INTB,vae,low,8,850,406,850,850,0,0,0,0,yes,yes
31_INTB_sd_low_iteration1_X850_Y996,31,INTB,sd,low,1,850,996,not a real world object,850,1,0,1,0,N/A,N/A
253_INTB_gan_high_iteration12_X850_Y415,253,INTB,gan,high,12,850,415,not a real world object,850,1,0,1,0,N/A,N/A
370_INTB_gan_low_iteration87_X850_Y787,370,INTB,gan,low,87,850,787,not a real world object,a different real world object,1,1,1,1,no,no
212_INTB_gan_high_iteration42_X850_Y921,212,INTB,gan,high,42,850,921,865,a different real world object,1,1,0,1,no,N/A
13_INTB_sd_low_iteration113_X850_Y206,13,INTB,sd,low,113,850,206,850,265,0,1,0,0,N/A,yes
278_INTB_vae_high_iteration1_X850_Y927,278,INTB,vae,high,1,850,927,a different real world object,a different real world object,1,1,1,1,no,no
303_INTB_gan_low_iteration170_X850_Y995,303,INTB,gan,low,170,850,995,not a real world object,not a real world object,1,1,1,1,no,no
268_INTB_gan_high_iteration10_X850_Y266,268,INTB,gan,high,10,850,266,265,260,1,1,0,0,no,yes
107_INTB_sd_high_iteration7_X850_Y996,107,INTB,sd,high,7,850,996,850,265,0,1,0,0,N/A,yes
40_INTB_sd_low_iteration41_X850_Y296,40,INTB,sd,low,41,850,296,850,not a real world object,0,1,0,1,N/A,N/A
118_INTB_sd_high_iteration9_X850_Y260,118,INTB,sd,high,9,850,260,850,850,0,0,0,0,yes,yes
53_INTB_sd_low_iteration1_X850_Y260,53,INTB,sd,low,1,850,260,850,850,0,0,0,0,yes,yes
116_INTB_sd_high_iteration6_X850_Y260,116,INTB,sd,high,6,850,260,850,850,0,0,0,0,yes,yes
337_INTB_gan_low_iteration13_X850_Y865,337,INTB,gan,low,13,850,865,865,850,1,0,0,0,N/A,yes
122_INTB_sd_high_iteration5_X850_Y961,122,INTB,sd,high,5,850,961,850,850,0,0,0,0,yes,yes
7_INTB_sd_low_iteration1_X850_Y865,7,INTB,sd,low,1,850,865,850,850,0,0,0,0,yes,yes
10_INTB_sd_low_iteration1_X850_Y265,10,INTB,sd,low,1,850,265,265,850,1,0,0,0,N/A,yes
230_INTB_gan_high_iteration11_X850_Y265,230,INTB,gan,high,11,850,265,265,850,1,0,0,0,N/A,yes
219_INTB_gan_high_iteration23_X850_Y265,219,INTB,gan,high,23,850,265,265,850,1,0,0,0,N/A,yes
188_INTB_gan_high_iteration41_X850_Y265,188,INTB,gan,high,41,850,265,265,850,1,0,0,0,N/A,yes
75_INTB_sd_low_iteration104_X850_Y191,75,INTB,sd,low,104,850,191,850,850,0,0,0,0,yes,yes
74_INTB_sd_low_iteration57_X850_Y865,74,INTB,sd,low,57,850,865,865,865,1,1,0,0,no,yes
82_INTB_sd_low_iteration45_X850_Y332,82,INTB,sd,low,45,850,332,850,265,0,1,0,0,N/A,yes
11_INTB_sd_low_iteration1_X850_Y267,11,INTB,sd,low,1,850,267,850,265,0,1,0,0,N/A,yes
226_INTB_gan_high_iteration17_X850_Y415,226,INTB,gan,high,17,850,415,865,865,1,1,0,0,no,yes
