Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Validity?,Label Preservation?,
96_INPI_gan_high_iteration33_X963_Y910,96,INPI,gan,high,33,963,910,930,964,1,1,0,0,yes,no,
75_INPI_gan_high_iteration51_X963_Y937,75,INPI,gan,high,51,963,937,930,a different real world object,1,1,0,0,yes,no,
47_INPI_gan_high_iteration60_X963_Y923,47,INPI,gan,high,60,963,923,a different real world object,923,1,1,0,0,yes,no,
103_INPI_gan_high_iteration70_X963_Y455,103,INPI,gan,high,70,963,455,963,930,0,1,0,0,yes,N/A,
54_INPI_gan_high_iteration50_X963_Y941,54,INPI,gan,high,50,963,941,963,964,0,1,0,0,yes,N/A,
110_INPI_gan_high_iteration81_X963_Y116,110,INPI,gan,high,81,963,116,963,963,0,0,0,0,yes,yes,
69_INPI_gan_high_iteration17_X963_Y891,69,INPI,gan,high,17,963,891,not a real world object,963,1,0,1,0,N/A,N/A,
85_INPI_gan_high_iteration47_X963_Y934,85,INPI,gan,high,47,963,934,not a real world object,965,1,1,1,0,N/A,no,
70_INPI_gan_high_iteration27_X963_Y959,70,INPI,gan,high,27,963,959,a different real world object,963,1,0,0,0,yes,N/A,
77_INPI_gan_high_iteration20_X963_Y928,77,INPI,gan,high,20,963,928,963,963,0,0,0,0,yes,yes,
120_INPI_gan_high_iteration59_X963_Y567,120,INPI,gan,high,59,963,567,963,963,0,0,0,0,yes,yes,
63_INPI_gan_high_iteration75_X963_Y964,63,INPI,gan,high,75,963,964,963,963,0,0,0,0,yes,yes,
116_INPI_gan_high_iteration51_X963_Y923,116,INPI,gan,high,51,963,923,963,963,0,0,0,0,yes,yes,
119_INPI_gan_high_iteration55_X963_Y962,119,INPI,gan,high,55,963,962,963,963,0,0,0,0,yes,yes,
74_INPI_gan_high_iteration39_X963_Y567,74,INPI,gan,high,39,963,567,963,963,0,0,0,0,yes,yes,
65_INPI_gan_high_iteration70_X963_Y521,65,INPI,gan,high,70,963,521,963,963,0,0,0,0,yes,yes,
53_INPI_gan_high_iteration62_X963_Y809,53,INPI,gan,high,62,963,809,964,964,1,1,0,0,yes,no,
31_INPI_gan_high_iteration57_X963_Y924,31,INPI,gan,high,57,963,924,963,963,0,0,0,0,yes,yes,
52_INPI_gan_high_iteration39_X963_Y659,52,INPI,gan,high,39,963,659,not a real world object,923,1,1,1,0,N/A,no,
107_INPI_gan_high_iteration26_X963_Y927,107,INPI,gan,high,26,963,927,927,963,1,0,0,0,yes,N/A,
62_INPI_gan_high_iteration87_X963_Y924,62,INPI,gan,high,87,963,924,963,963,0,0,0,0,yes,yes,
71_INPI_gan_high_iteration22_X963_Y420,71,INPI,gan,high,22,963,420,963,963,0,0,0,0,yes,yes,
35_INPI_gan_high_iteration71_X963_Y924,35,INPI,gan,high,71,963,924,963,963,0,0,0,0,yes,yes,
113_INPI_gan_high_iteration62_X963_Y941,113,INPI,gan,high,62,963,941,not a real world object,a different real world object,1,1,1,0,N/A,no,
122_INPI_gan_high_iteration66_X963_Y926,122,INPI,gan,high,66,963,926,963,963,0,0,0,0,yes,yes,
61_INPI_gan_high_iteration32_X963_Y952,61,INPI,gan,high,32,963,952,963,963,0,0,0,0,yes,yes,
88_INPI_gan_high_iteration51_X963_Y926,88,INPI,gan,high,51,963,926,963,963,0,0,0,0,yes,yes,
92_INPI_gan_high_iteration37_X963_Y950,92,INPI,gan,high,37,963,950,927,963,1,0,0,0,yes,N/A,
33_INPI_gan_high_iteration54_X963_Y903,33,INPI,gan,high,54,963,903,a different real world object,962,1,1,0,0,yes,no,
109_INPI_gan_high_iteration16_X963_Y923,109,INPI,gan,high,16,963,923,964,963,1,0,0,0,yes,N/A,
93_INPI_gan_high_iteration61_X963_Y677,93,INPI,gan,high,61,963,677,a different real world object,567,1,1,0,0,yes,no,
58_INPI_gan_high_iteration19_X963_Y567,58,INPI,gan,high,19,963,567,963,963,0,0,0,0,yes,yes,
106_INPI_gan_high_iteration67_X963_Y567,106,INPI,gan,high,67,963,567,963,964,0,1,0,0,yes,N/A,
43_INPI_gan_high_iteration57_X963_Y957,43,INPI,gan,high,57,963,957,965,927,1,1,0,0,yes,no,
57_INPI_gan_high_iteration55_X963_Y942,57,INPI,gan,high,55,963,942,963,963,0,0,0,0,yes,yes,
115_INPI_gan_high_iteration45_X963_Y406,115,INPI,gan,high,45,963,406,923,not a real world object,1,1,0,1,N/A,no,
83_INPI_gan_high_iteration62_X963_Y962,83,INPI,gan,high,62,963,962,not a real world object,a different real world object,1,1,1,0,N/A,no,
82_INPI_gan_high_iteration32_X963_Y567,82,INPI,gan,high,32,963,567,a different real world object,963,1,0,0,0,yes,N/A,
100_INPI_gan_high_iteration20_X963_Y813,100,INPI,gan,high,20,963,813,not a real world object,963,1,0,1,0,N/A,N/A,
56_INPI_gan_high_iteration33_X963_Y933,56,INPI,gan,high,33,963,933,not a real world object,963,1,0,1,0,N/A,N/A,
111_INPI_gan_high_iteration79_X963_Y923,111,INPI,gan,high,79,963,923,962,a different real world object,1,1,0,0,yes,no,
72_INPI_gan_high_iteration67_X963_Y567,72,INPI,gan,high,67,963,567,963,a different real world object,0,1,0,0,yes,N/A,
27_INPI_gan_high_iteration100_X963_Y567,27,INPI,gan,high,100,963,567,963,a different real world object,0,1,0,0,yes,N/A,
26_INPI_gan_high_iteration22_X963_Y502,26,INPI,gan,high,22,963,502,963,963,0,0,0,0,yes,yes,
101_INPI_gan_high_iteration22_X963_Y927,101,INPI,gan,high,22,963,927,963,963,0,0,0,0,yes,yes,
353_INPI_sd_high_iteration17_X963_Y930,353,INPI,sd,high,17,963,930,963,963,0,0,0,0,yes,yes,
350_INPI_sd_high_iteration7_X963_Y923,350,INPI,sd,high,7,963,923,963,963,0,0,0,0,yes,yes,
376_INPI_sd_high_iteration5_X963_Y962,376,INPI,sd,high,5,963,962,963,963,0,0,0,0,yes,yes,
378_INPI_sd_high_iteration1_X963_Y121,378,INPI,sd,high,1,963,121,962,963,1,0,0,0,yes,N/A,
360_INPI_sd_high_iteration23_X963_Y964,360,INPI,sd,high,23,963,964,963,963,0,0,0,0,yes,yes,
332_INPI_sd_high_iteration26_X963_Y927,332,INPI,sd,high,26,963,927,963,963,0,0,0,0,yes,yes,
371_INPI_sd_high_iteration1_X963_Y964,371,INPI,sd,high,1,963,964,964,963,1,0,0,0,yes,N/A,
365_INPI_sd_high_iteration16_X963_Y930,365,INPI,sd,high,16,963,930,963,963,0,0,0,0,yes,yes,
335_INPI_sd_high_iteration16_X963_Y930,335,INPI,sd,high,16,963,930,963,963,0,0,0,0,yes,yes,
346_INPI_sd_high_iteration10_X963_Y964,346,INPI,sd,high,10,963,964,963,963,0,0,0,0,yes,yes,
341_INPI_sd_high_iteration14_X963_Y996,341,INPI,sd,high,14,963,996,963,a different real world object,0,1,0,0,yes,N/A,
363_INPI_sd_high_iteration22_X963_Y962,363,INPI,sd,high,22,963,962,963,963,0,0,0,0,yes,yes,
311_INPI_sd_high_iteration33_X963_Y964,311,INPI,sd,high,33,963,964,963,963,0,0,0,0,yes,yes,
330_INPI_sd_high_iteration6_X963_Y964,330,INPI,sd,high,6,963,964,963,963,0,0,0,0,yes,yes,
327_INPI_sd_high_iteration9_X963_Y927,327,INPI,sd,high,9,963,927,963,963,0,0,0,0,yes,yes,
379_INPI_sd_high_iteration6_X963_Y467,379,INPI,sd,high,6,963,467,963,963,0,0,0,0,yes,yes,
369_INPI_sd_high_iteration6_X963_Y964,369,INPI,sd,high,6,963,964,963,963,0,0,0,0,yes,yes,
364_INPI_sd_high_iteration15_X963_Y962,364,INPI,sd,high,15,963,962,963,963,0,0,0,0,yes,yes,
313_INPI_sd_high_iteration19_X963_Y962,313,INPI,sd,high,19,963,962,963,963,0,0,0,0,yes,yes,
355_INPI_sd_high_iteration1_X963_Y965,355,INPI,sd,high,1,963,965,963,963,0,0,0,0,yes,yes,
338_INPI_sd_high_iteration2_X963_Y964,338,INPI,sd,high,2,963,964,963,963,0,0,0,0,yes,yes,
322_INPI_sd_high_iteration5_X963_Y962,322,INPI,sd,high,5,963,962,963,963,0,0,0,0,yes,yes,
312_INPI_sd_high_iteration4_X963_Y964,312,INPI,sd,high,4,963,964,963,963,0,0,0,0,yes,yes,
351_INPI_sd_high_iteration5_X963_Y927,351,INPI,sd,high,5,963,927,963,964,0,1,0,0,yes,N/A,
356_INPI_sd_high_iteration5_X963_Y922,356,INPI,sd,high,5,963,922,963,963,0,0,0,0,yes,yes,
318_INPI_sd_high_iteration6_X963_Y964,318,INPI,sd,high,6,963,964,963,963,0,0,0,0,yes,yes,
377_INPI_sd_high_iteration4_X963_Y930,377,INPI,sd,high,4,963,930,963,963,0,0,0,0,yes,yes,
334_INPI_sd_high_iteration54_X963_Y116,334,INPI,sd,high,54,963,116,927,a different real world object,1,1,0,0,yes,no,
316_INPI_sd_high_iteration1_X963_Y964,316,INPI,sd,high,1,963,964,963,963,0,0,0,0,yes,yes,
324_INPI_sd_high_iteration33_X963_Y962,324,INPI,sd,high,33,963,962,963,963,0,0,0,0,yes,yes,
326_INPI_sd_high_iteration10_X963_Y891,326,INPI,sd,high,10,963,891,963,963,0,0,0,0,yes,yes,
348_INPI_sd_high_iteration7_X963_Y964,348,INPI,sd,high,7,963,964,963,963,0,0,0,0,yes,yes,
345_INPI_sd_high_iteration2_X963_Y964,345,INPI,sd,high,2,963,964,963,963,0,0,0,0,yes,yes,
333_INPI_sd_high_iteration16_X963_Y930,333,INPI,sd,high,16,963,930,963,963,0,0,0,0,yes,yes,
309_INPI_sd_high_iteration12_X963_Y121,309,INPI,sd,high,12,963,121,963,963,0,0,0,0,yes,yes,
319_INPI_sd_high_iteration16_X963_Y824,319,INPI,sd,high,16,963,824,930,963,1,0,0,0,yes,N/A,
366_INPI_sd_high_iteration16_X963_Y962,366,INPI,sd,high,16,963,962,964,963,1,0,0,0,yes,N/A,
315_INPI_sd_high_iteration11_X963_Y964,315,INPI,sd,high,11,963,964,962,963,1,0,0,0,yes,N/A,
358_INPI_sd_high_iteration1_X963_Y930,358,INPI,sd,high,1,963,930,963,963,0,0,0,0,yes,yes,
328_INPI_sd_high_iteration15_X963_Y930,328,INPI,sd,high,15,963,930,963,963,0,0,0,0,yes,yes,
325_INPI_sd_high_iteration20_X963_Y962,325,INPI,sd,high,20,963,962,963,963,0,0,0,0,yes,yes,
342_INPI_sd_high_iteration1_X963_Y962,342,INPI,sd,high,1,963,962,963,963,0,0,0,0,yes,yes,
372_INPI_sd_high_iteration36_X963_Y956,372,INPI,sd,high,36,963,956,963,963,0,0,0,0,yes,yes,
308_INPI_sd_high_iteration26_X963_Y962,308,INPI,sd,high,26,963,962,963,963,0,0,0,0,yes,yes,
307_INPI_sd_high_iteration2_X963_Y962,307,INPI,sd,high,2,963,962,963,963,0,0,0,0,yes,yes,
331_INPI_sd_high_iteration29_X963_Y964,331,INPI,sd,high,29,963,964,963,963,0,0,0,0,yes,yes,
361_INPI_sd_high_iteration23_X963_Y953,361,INPI,sd,high,23,963,953,963,963,0,0,0,0,yes,yes,
357_INPI_sd_high_iteration33_X963_Y964,357,INPI,sd,high,33,963,964,963,963,0,0,0,0,yes,yes,
329_INPI_sd_high_iteration39_X963_Y964,329,INPI,sd,high,39,963,964,963,963,0,0,0,0,yes,yes,
320_INPI_sd_high_iteration4_X963_Y923,320,INPI,sd,high,4,963,923,963,963,0,0,0,0,yes,yes,
367_INPI_sd_high_iteration4_X963_Y956,367,INPI,sd,high,4,963,956,963,963,0,0,0,0,yes,yes,
370_INPI_sd_high_iteration10_X963_Y66,370,INPI,sd,high,10,963,66,963,963,0,0,0,0,yes,yes,
323_INPI_sd_high_iteration2_X963_Y964,323,INPI,sd,high,2,963,964,963,963,0,0,0,0,yes,yes,
347_INPI_sd_high_iteration23_X963_Y964,347,INPI,sd,high,23,963,964,963,963,0,0,0,0,yes,yes,
354_INPI_sd_high_iteration24_X963_Y567,354,INPI,sd,high,24,963,567,963,963,0,0,0,0,yes,yes,
352_INPI_sd_high_iteration13_X963_Y964,352,INPI,sd,high,13,963,964,963,963,0,0,0,0,yes,yes,
375_INPI_sd_high_iteration2_X963_Y964,375,INPI,sd,high,2,963,964,963,963,0,0,0,0,yes,yes,
321_INPI_sd_high_iteration1_X963_Y831,321,INPI,sd,high,1,963,831,963,963,0,0,0,0,yes,yes,
339_INPI_sd_high_iteration14_X963_Y116,339,INPI,sd,high,14,963,116,963,963,0,0,0,0,yes,yes,
368_INPI_sd_high_iteration3_X963_Y962,368,INPI,sd,high,3,963,962,965,963,1,0,0,0,yes,N/A,
362_INPI_sd_high_iteration26_X963_Y766,362,INPI,sd,high,26,963,766,963,963,0,0,0,0,yes,yes,
336_INPI_sd_high_iteration11_X963_Y965,336,INPI,sd,high,11,963,965,963,963,0,0,0,0,yes,yes,
317_INPI_sd_high_iteration20_X963_Y930,317,INPI,sd,high,20,963,930,963,963,0,0,0,0,yes,yes,
340_INPI_sd_high_iteration4_X963_Y964,340,INPI,sd,high,4,963,964,963,963,0,0,0,0,yes,yes,
310_INPI_sd_high_iteration8_X963_Y959,310,INPI,sd,high,8,963,959,a different real world object,963,1,0,0,0,yes,N/A,
349_INPI_sd_high_iteration7_X963_Y996,349,INPI,sd,high,7,963,996,963,963,0,0,0,0,yes,yes,
374_INPI_sd_high_iteration16_X963_Y567,374,INPI,sd,high,16,963,567,963,963,0,0,0,0,yes,yes,
343_INPI_sd_high_iteration2_X963_Y930,343,INPI,sd,high,2,963,930,963,963,0,0,0,0,yes,yes,
337_INPI_sd_high_iteration14_X963_Y824,337,INPI,sd,high,14,963,824,963,963,0,0,0,0,yes,yes,
373_INPI_sd_high_iteration1_X963_Y964,373,INPI,sd,high,1,963,964,963,963,0,0,0,0,yes,yes,
344_INPI_sd_high_iteration1_X963_Y964,344,INPI,sd,high,1,963,964,963,963,0,0,0,0,yes,yes,
314_INPI_sd_high_iteration17_X963_Y964,314,INPI,sd,high,17,963,964,963,963,0,0,0,0,yes,yes,
359_INPI_sd_high_iteration1_X963_Y891,359,INPI,sd,high,1,963,891,963,963,0,0,0,0,yes,yes,
143_INPI_vae_high_iteration7_X963_Y611,143,INPI,vae,high,7,963,611,963,963,0,0,0,0,yes,yes,
145_INPI_vae_high_iteration1_X963_Y927,145,INPI,vae,high,1,963,927,963,963,0,0,0,0,yes,yes,
148_INPI_vae_high_iteration1_X963_Y927,148,INPI,vae,high,1,963,927,963,927,0,1,0,0,yes,N/A,
132_INPI_vae_high_iteration1_X963_Y927,132,INPI,vae,high,1,963,927,963,a different real world object,0,1,0,0,yes,N/A,
127_INPI_vae_high_iteration1_X963_Y926,127,INPI,vae,high,1,963,926,963,963,0,0,0,0,yes,yes,
144_INPI_vae_high_iteration3_X963_Y927,144,INPI,vae,high,3,963,927,963,963,0,0,0,0,yes,yes,
126_INPI_vae_high_iteration13_X963_Y684,126,INPI,vae,high,13,963,684,not a real world object,963,1,0,1,0,N/A,N/A,
124_INPI_vae_high_iteration1_X963_Y964,124,INPI,vae,high,1,963,964,963,963,0,0,0,0,yes,yes,
140_INPI_vae_high_iteration1_X963_Y599,140,INPI,vae,high,1,963,599,963,963,0,0,0,0,yes,yes,
142_INPI_vae_high_iteration1_X963_Y599,142,INPI,vae,high,1,963,599,963,963,0,0,0,0,yes,yes,
136_INPI_vae_high_iteration3_X963_Y964,136,INPI,vae,high,3,963,964,963,963,0,0,0,0,yes,yes,
141_INPI_vae_high_iteration2_X963_Y891,141,INPI,vae,high,2,963,891,963,963,0,0,0,0,yes,yes,
130_INPI_vae_high_iteration1_X963_Y927,130,INPI,vae,high,1,963,927,963,963,0,0,0,0,yes,yes,
146_INPI_vae_high_iteration1_X963_Y932,146,INPI,vae,high,1,963,932,963,963,0,0,0,0,yes,yes,
138_INPI_vae_high_iteration1_X963_Y949,138,INPI,vae,high,1,963,949,963,963,0,0,0,0,yes,yes,
139_INPI_vae_high_iteration1_X963_Y54,139,INPI,vae,high,1,963,54,963,963,0,0,0,0,yes,yes,
128_INPI_vae_high_iteration1_X963_Y965,128,INPI,vae,high,1,963,965,not a real world object,963,1,0,1,0,N/A,N/A,
134_INPI_vae_high_iteration3_X963_Y957,134,INPI,vae,high,3,963,957,963,963,0,0,0,0,yes,yes,
147_INPI_vae_high_iteration1_X963_Y509,147,INPI,vae,high,1,963,509,not a real world object,not a real world object,1,1,1,1,no,N/A,
137_INPI_vae_high_iteration8_X963_Y121,137,INPI,vae,high,8,963,121,not a real world object,963,1,0,1,0,N/A,N/A,
135_INPI_vae_high_iteration1_X963_Y965,135,INPI,vae,high,1,963,965,not a real world object,not a real world object,1,1,1,1,no,N/A,
129_INPI_vae_high_iteration3_X963_Y965,129,INPI,vae,high,3,963,965,963,a different real world object,0,1,0,0,yes,N/A,
131_INPI_vae_high_iteration7_X963_Y957,131,INPI,vae,high,7,963,957,930,963,1,0,0,0,yes,N/A,
125_INPI_vae_high_iteration1_X963_Y56,125,INPI,vae,high,1,963,56,962,a different real world object,1,1,0,0,yes,no,
133_INPI_vae_high_iteration1_X963_Y962,133,INPI,vae,high,1,963,962,963,963,0,0,0,0,yes,yes,
207_INPI_gan_low_iteration79_X963_Y928,207,INPI,gan,low,79,963,928,963,962,0,1,0,0,yes,N/A,
191_INPI_gan_low_iteration101_X963_Y941,191,INPI,gan,low,101,963,941,a different real world object,964,1,1,0,0,yes,no,
152_INPI_gan_low_iteration221_X963_Y420,152,INPI,gan,low,221,963,420,963,a different real world object,0,1,0,0,yes,N/A,
172_INPI_gan_low_iteration243_X963_Y964,172,INPI,gan,low,243,963,964,930,a different real world object,1,1,0,0,yes,no,
195_INPI_gan_low_iteration226_X963_Y567,195,INPI,gan,low,226,963,567,a different real world object,964,1,1,0,0,yes,no,
234_INPI_gan_low_iteration235_X963_Y941,234,INPI,gan,low,235,963,941,963,963,0,0,0,0,yes,yes,
181_INPI_gan_low_iteration144_X963_Y539,181,INPI,gan,low,144,963,539,930,962,1,1,0,0,yes,no,
170_INPI_gan_low_iteration245_X963_Y941,170,INPI,gan,low,245,963,941,964,a different real world object,1,1,0,0,yes,no,
177_INPI_gan_low_iteration98_X963_Y809,177,INPI,gan,low,98,963,809,963,923,0,1,0,0,yes,N/A,
176_INPI_gan_low_iteration234_X963_Y964,176,INPI,gan,low,234,963,964,963,963,0,0,0,0,yes,yes,
209_INPI_gan_low_iteration165_X963_Y957,209,INPI,gan,low,165,963,957,963,963,0,0,0,0,yes,yes,
173_INPI_gan_low_iteration157_X963_Y760,173,INPI,gan,low,157,963,760,a different real world object,964,1,1,0,0,yes,no,
221_INPI_gan_low_iteration117_X963_Y962,221,INPI,gan,low,117,963,962,964,963,1,0,0,0,yes,N/A,
169_INPI_gan_low_iteration239_X963_Y410,169,INPI,gan,low,239,963,410,not a real world object,964,1,1,1,0,N/A,no,
182_INPI_gan_low_iteration165_X963_Y567,182,INPI,gan,low,165,963,567,963,963,0,0,0,0,yes,yes,
167_INPI_gan_low_iteration122_X963_Y964,167,INPI,gan,low,122,963,964,963,963,0,0,0,0,yes,yes,
163_INPI_gan_low_iteration131_X963_Y619,163,INPI,gan,low,131,963,619,963,963,0,0,0,0,yes,yes,
217_INPI_gan_low_iteration168_X963_Y930,217,INPI,gan,low,168,963,930,930,930,1,1,0,0,yes,no,
210_INPI_gan_low_iteration156_X963_Y415,210,INPI,gan,low,156,963,415,963,963,0,0,0,0,yes,yes,
189_INPI_gan_low_iteration140_X963_Y933,189,INPI,gan,low,140,963,933,963,964,0,1,0,0,yes,N/A,
216_INPI_gan_low_iteration99_X963_Y567,216,INPI,gan,low,99,963,567,963,963,0,0,0,0,yes,yes,
213_INPI_gan_low_iteration88_X963_Y809,213,INPI,gan,low,88,963,809,923,923,1,1,0,0,yes,no,
215_INPI_gan_low_iteration123_X963_Y124,215,INPI,gan,low,123,963,124,not a real world object,567,1,1,1,0,N/A,no,
205_INPI_gan_low_iteration119_X963_Y959,205,INPI,gan,low,119,963,959,962,964,1,1,0,0,yes,no,
174_INPI_gan_low_iteration98_X963_Y926,174,INPI,gan,low,98,963,926,930,a different real world object,1,1,0,0,yes,no,
187_INPI_gan_low_iteration119_X963_Y942,187,INPI,gan,low,119,963,942,962,567,1,1,0,0,yes,no,
229_INPI_gan_low_iteration171_X963_Y567,229,INPI,gan,low,171,963,567,963,963,0,0,0,0,yes,yes,
223_INPI_gan_low_iteration170_X963_Y934,223,INPI,gan,low,170,963,934,963,963,0,0,0,0,yes,yes,
184_INPI_gan_low_iteration182_X963_Y937,184,INPI,gan,low,182,963,937,963,963,0,0,0,0,yes,yes,
202_INPI_gan_low_iteration197_X963_Y964,202,INPI,gan,low,197,963,964,923,a different real world object,1,1,0,0,yes,no,
230_INPI_gan_low_iteration207_X963_Y964,230,INPI,gan,low,207,963,964,963,963,0,0,0,0,yes,yes,
198_INPI_gan_low_iteration134_X963_Y950,198,INPI,gan,low,134,963,950,962,not a real world object,1,1,0,1,N/A,no,
